lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,median_lifecycle_duration_months,avg_observed_month_coverage_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline,lifecycle_model_priority_score,lifecycle_model_recommendation
Established,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,11734,0.0,0.0002571307548996079,1.0,1.0,1.0,6483989.654999379,0.0,99.0,0.0,Lifecycle monitoring segment
Long-tenure,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,15239,0.7159262418793884,0.7130171920538612,1.0202112999540651,1.0,0.9980201460539738,0.0,0.0,0.0,0.0,Do not spend premium budget
Established,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,78055,0.0,0.00025534706635984406,1.0,1.0,1.0,57293111.947494745,0.0,99.0,0.0,Lifecycle monitoring segment
Long-tenure,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,710,0.0,0.0006518163028606634,1.0,1.0,1.0,486582.5250000066,0.0,99.0,0.0,Lifecycle monitoring segment
Established,Low engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,521,0.0,0.0002942347213546451,1.0,1.0,1.0,323529.27749999915,0.0,99.0,0.0,Lifecycle monitoring segment
Early lifecycle,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,518,0.0,0.00030683949968026217,1.0,1.0,1.0,288333.04500000074,0.0,99.0,0.0,Lifecycle monitoring segment
Early lifecycle,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,3206,0.7442295695570805,0.7391907340677385,1.0049906425452277,1.0,0.9993241838220003,0.0,0.0,0.0,0.0,Do not spend premium budget
Long-tenure,High engagement,Low revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,593,0.0,0.006749024721071913,20.473861720067454,20.0,0.29852907189993466,1091591.0091666668,0.0,222.11973018549727,0.0,Lifecycle monitoring segment
Early lifecycle,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,1277,0.0,0.0003379807602794036,1.0,1.0,1.0,710813.3175000024,0.0,99.0,0.0,Lifecycle monitoring segment
Early lifecycle,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6895,0.0,0.00024796195272581577,1.0,1.0,1.0,4626385.335000018,0.0,99.0,0.0,Lifecycle monitoring segment
Unknown tenure,No observed activity,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,8670,0.9806228373702423,0.9788262475955716,1.0,1.0,0.0118800461361015,0.0,0.0,0.0,0.0,Do not spend premium budget
Established,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,3057,0.0,0.002381469832190823,1.0,1.0,1.0,3470721.442500025,0.0,149.0,0.0,"Protect, but avoid discounting"
