lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,median_lifecycle_duration_months,avg_observed_month_coverage_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline,lifecycle_model_priority_score,lifecycle_model_recommendation,segment_label,avg_clv_per_customer,bubble_value,decision_zone
Established,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,12279,0.0002443195699975,0.0016649047109515,1.0,1.0,1.0,12315286.295000045,2978.3975,131.3608600048864,2237.5171860216274,Lifecycle monitoring segment,Established / High engagement / Medium revenue / Core value,1002.9551506637384,2978.3975,No paid action focus
Unknown tenure,No observed activity,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,4269,0.0011712344811431,0.0005852873217718,1.0,1.0,1.0,2099919.25,2453.75,100.23424689622864,1841.389611574348,Lifecycle monitoring segment,Unknown tenure / No observed activity / Medium revenue / Core value,491.899566643242,2453.75,No paid action focus
Long-tenure,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,13106,0.000228902792614,0.0007457410560186,1.0,1.0,1.0,10579484.272499437,2374.5150000000003,99.0,1782.2143299927247,Lifecycle monitoring segment,Long-tenure / High engagement / Low revenue / Core value,807.2244981305842,2374.5150000000003,No paid action focus
Early lifecycle,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1490,0.0020134228187919,0.0055276041792914,1.0026845637583892,1.0,1.0,1417148.3300000008,2207.3025,136.59865771812082,1664.627695892971,Lifecycle monitoring segment,Early lifecycle / High engagement / Medium revenue / Core value,951.106261744967,2207.3025,No paid action focus
Long-tenure,Medium engagement,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,908,0.0033039647577092,0.0071278292641045,1.001101321585903,1.0,1.0,622277.3700000059,2055.9825,99.0,1552.97789417249,Lifecycle monitoring segment,Long-tenure / Medium engagement / Low revenue / Low value,685.3275000000066,2055.9825,No paid action focus
Established,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,8105,0.0002467612584824,0.0023790846126044,1.0,1.0,1.0,9209519.76750026,2188.8100000000004,149.0,1316.410418514549,"Protect, but avoid discounting",Established / High engagement / Medium revenue / High value,1136.2763439235362,2188.8100000000004,Value monitor
Unknown tenure,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,53122,5.6473777342720533e-05,0.000313084467201,1.0001129475546855,1.0,0.9999811754075524,28101899.18249426,1563.705,99.0,1173.1459288100884,Lifecycle monitoring segment,Unknown tenure / No observed activity / Low revenue / Low value,529.0067991132537,1563.705,No paid action focus
Long-tenure,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2680,0.0007462686567164,0.0005519826209986,1.0,1.0,1.0,1653202.9799999588,1299.8700000000003,99.0,975.4406292371684,Lifecycle monitoring segment,Long-tenure / No observed activity / Low revenue / Core value,616.8667835820742,1299.8700000000003,No paid action focus
Long-tenure,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,6315,0.0003167062549485,0.0005466617419729,1.0,1.0,1.0,4152296.3625002974,1299.87,99.0,975.435441898904,Lifecycle monitoring segment,Long-tenure / No observed activity / Low revenue / Low value,657.5291152019473,1299.87,No paid action focus
Established,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,27910,7.165890361877464e-05,0.000257451915303,1.0,1.0,1.0,16564101.839999745,1171.17,99.0,878.603639969734,Lifecycle monitoring segment,Established / No observed activity / Low revenue / Low value,593.4826886420547,1171.17,No paid action focus
Early lifecycle,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,16384,6.103515625e-05,0.0002486068912555,1.00006103515625,1.0,1.0,11012044.972498426,804.3750000000001,99.0,603.4312298761154,Lifecycle monitoring segment,Early lifecycle / High engagement / Low revenue / Low value,672.1218855284684,804.3750000000001,No paid action focus
Long-tenure,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,1742,0.0005740528128587,0.0006660358496634,1.0,1.0,1.0,1193840.5050000057,685.3275000000001,99.0,514.3379645128202,Lifecycle monitoring segment,Long-tenure / Medium engagement / Low revenue / Low value,685.3275000000033,685.3275000000001,No paid action focus
Established,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,5900,0.0001694915254237,0.0003057754149778,1.0001694915254238,1.0,1.0,3663767.250000101,620.9775000000001,99.0,465.8755347395659,Lifecycle monitoring segment,Established / Medium engagement / Low revenue / Low value,620.9775000000171,620.9775000000001,No paid action focus
Unknown tenure,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,22084,4.528165187466039e-05,0.0003130636674265,1.0,1.0,1.0,10790362.439998372,485.8425,99.0,364.4959497261312,Lifecycle monitoring segment,Unknown tenure / No observed activity / Low revenue / Core value,488.60543560941727,485.8425,No paid action focus
Early lifecycle,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,14412,0.0,0.0007438792255315,1.0,1.0,1.0,10603476.325,0.0,107.78615043019704,0.0,Lifecycle monitoring segment,Early lifecycle / High engagement / Medium revenue / Core value,735.7394063974465,0.0,No paid action focus
Established,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,11734,0.0,0.0002571307548996,1.0,1.0,1.0,6483989.654999379,0.0,99.0,0.0,Lifecycle monitoring segment,Established / No observed activity / Low revenue / Core value,552.5813580193778,0.0,No paid action focus
Early lifecycle,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,1456,0.0,0.0024161172124739,1.0,1.0,1.0,1517586.2325000046,0.0,149.0,0.0,"Protect, but avoid discounting",Early lifecycle / High engagement / Medium revenue / High value,1042.298236607146,0.0,Value monitor
Early lifecycle,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6895,0.0,0.0002479619527258,1.0,1.0,1.0,4626385.335000017,0.0,99.0,0.0,Lifecycle monitoring segment,Early lifecycle / High engagement / Low revenue / Core value,670.9768433647595,0.0,No paid action focus
Established,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,32912,0.0,0.0002550896392878,1.0,1.0,1.0,24155168.894995995,0.0,99.0,0.0,Lifecycle monitoring segment,Established / High engagement / Low revenue / Core value,733.931966911643,0.0,No paid action focus
Early lifecycle,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,2847,0.0,0.0002097887138275,1.0,1.0,1.0,1505049.97500001,0.0,99.0,0.0,Lifecycle monitoring segment,Early lifecycle / No observed activity / Low revenue / Low value,528.6441780821954,0.0,No paid action focus
Early lifecycle,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,3206,0.7442295695570805,0.7391907340677385,1.0049906425452275,1.0,0.9993241838220004,0.0,0.0,0.0,0.0,Do not spend premium budget,Early lifecycle / High engagement / No observed revenue / No observed value,0.0,0.0,Risk monitor
Long-tenure,High engagement,Low revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,593,0.0,0.0067490247210719,20.473861720067458,20.0,0.2985290718999346,1091591.0091666668,0.0,222.11973018549727,0.0,Lifecycle monitoring segment,Long-tenure / High engagement / Low revenue / Elite value,1840.794281899944,0.0,Value monitor
Early lifecycle,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1207,0.0,0.0002058139244694,1.0,1.0,1.0,589101.7275000137,0.0,99.0,0.0,Lifecycle monitoring segment,Early lifecycle / No observed activity / Low revenue / Core value,488.07102526927395,0.0,No paid action focus
Early lifecycle,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,1277,0.0,0.0003379807602794,1.0,1.0,1.0,710813.3175000024,0.0,99.0,0.0,Lifecycle monitoring segment,Early lifecycle / Medium engagement / Low revenue / Low value,556.6275000000019,0.0,No paid action focus
Established,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,9003,0.7053204487393091,0.701886451120952,1.0482061535043874,1.0,0.9962010712250828,0.0,0.0,0.0,0.0,Do not spend premium budget,Established / High engagement / No observed revenue / No observed value,0.0,0.0,Risk monitor
Long-tenure,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,15239,0.7159262418793884,0.7130171920538612,1.0202112999540651,1.0,0.9980201460539738,0.0,0.0,0.0,0.0,Do not spend premium budget,Long-tenure / High engagement / No observed revenue / No observed value,0.0,0.0,Risk monitor
Established,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2455,0.0,0.0002996600370697,1.0,1.0,1.0,1524499.7624999958,0.0,99.0,0.0,Lifecycle monitoring segment,Established / Medium engagement / Low revenue / Core value,620.9774999999983,0.0,No paid action focus
Long-tenure,Medium engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,1317,0.914958238420653,0.9067845387851552,1.017463933181473,1.0,0.998424449506454,0.0,0.0,0.0,0.0,Do not spend premium budget,Long-tenure / Medium engagement / No observed revenue / No observed value,0.0,0.0,Risk monitor
Early lifecycle,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,527,0.0,0.0024118956551511,1.0,1.0,1.0,551706.0249999999,0.0,149.0,0.0,"Protect, but avoid discounting",Early lifecycle / High engagement / Medium revenue / Elite value,1046.8805028462996,0.0,Value monitor
Early lifecycle,Medium engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1080,0.0,0.0004926455373517,1.0,1.0,1.0,615568.1675,0.0,101.37314814814816,0.0,Lifecycle monitoring segment,Early lifecycle / Medium engagement / Medium revenue / Core value,569.970525462963,0.0,No paid action focus
Established,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,3057,0.0,0.0023814698321908,1.0,1.0,1.0,3470721.442500025,0.0,149.0,0.0,"Protect, but avoid discounting",Established / High engagement / Medium revenue / Elite value,1135.3357679097237,0.0,Value monitor
Established,Medium engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,771,0.9092088197146564,0.9090665244488372,1.020752269779507,1.0,0.9979824182158812,0.0,0.0,0.0,0.0,Do not spend premium budget,Established / Medium engagement / No observed revenue / No observed value,0.0,0.0,Risk monitor
Early lifecycle,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,518,0.0,0.0003068394996802,1.0,1.0,1.0,288333.04500000074,0.0,99.0,0.0,Lifecycle monitoring segment,Early lifecycle / Medium engagement / Low revenue / Core value,556.6275000000014,0.0,No paid action focus
Long-tenure,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,2525,0.0,0.0025096268711582,1.0,1.0,1.0,3078924.452500007,0.0,149.0,0.0,"Protect, but avoid discounting",Long-tenure / High engagement / Medium revenue / Elite value,1219.376020792082,0.0,Value monitor
Established,Low engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,521,0.0,0.0002942347213546,1.0,1.0,1.0,323529.2774999992,0.0,99.0,0.0,Lifecycle monitoring segment,Established / Low engagement / Low revenue / Low value,620.9774999999985,0.0,No paid action focus
Long-tenure,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,710,0.0,0.0006518163028606,1.0,1.0,1.0,486582.5250000066,0.0,99.0,0.0,Lifecycle monitoring segment,Long-tenure / Medium engagement / Low revenue / Core value,685.3275000000093,0.0,No paid action focus
Established,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,78055,0.0,0.0002553470663598,1.0,1.0,1.0,57293111.947494745,0.0,99.0,0.0,Lifecycle monitoring segment,Established / High engagement / Low revenue / Low value,734.0095054448113,0.0,No paid action focus
Unknown tenure,No observed activity,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,8670,0.9806228373702424,0.9788262475955716,1.0,1.0,0.0118800461361015,0.0,0.0,0.0,0.0,Do not spend premium budget,Unknown tenure / No observed activity / No observed revenue / No observed value,0.0,0.0,Risk monitor
Early lifecycle,No observed activity,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1331,0.0,0.0003115824241444,1.0,1.0,1.0,653188.25,0.0,100.0,0.0,Lifecycle monitoring segment,Early lifecycle / No observed activity / Medium revenue / Core value,490.75,0.0,No paid action focus
