lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,median_lifecycle_duration_months,avg_observed_month_coverage_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline,lifecycle_model_priority_score,lifecycle_model_recommendation,priority_rank,segment_label,future_churned_clv_display,customer_display
Early lifecycle,High engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1490,0.0020134228187919,0.0055276041792914,1.0026845637583892,1.0,1.0,1417148.3300000008,2207.3025,136.59865771812082,1664.627695892971,Lifecycle monitoring segment,78,Early lifecycle / High engagement / Medium revenue / Core value / Medium risk,$2K,"1,490"
Long-tenure,Medium engagement,Low revenue,Low value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,908,0.0033039647577092,0.0071278292641045,1.001101321585903,1.0,1.0,622277.3700000059,2055.9825,99.0,1552.97789417249,Lifecycle monitoring segment,79,Long-tenure / Medium engagement / Low revenue / Low value / Medium risk,$2K,908
Established,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,8105,0.0002467612584824,0.0023790846126044,1.0,1.0,1.0,9209519.76750026,2188.8100000000004,149.0,1316.410418514549,"Protect, but avoid discounting",80,Established / High engagement / Medium revenue / High value / Low risk,$2K,"8,105"
Unknown tenure,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,53122,5.6473777342720533e-05,0.000313084467201,1.0001129475546855,1.0,0.9999811754075524,28101899.18249426,1563.705,99.0,1173.1459288100884,Lifecycle monitoring segment,81,Unknown tenure / No observed activity / Low revenue / Low value / Low risk,$2K,"53,122"
Long-tenure,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2680,0.0007462686567164,0.0005519826209986,1.0,1.0,1.0,1653202.9799999588,1299.8700000000003,99.0,975.4406292371684,Lifecycle monitoring segment,82,Long-tenure / No observed activity / Low revenue / Core value / Low risk,$1K,"2,680"
Long-tenure,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,6315,0.0003167062549485,0.0005466617419729,1.0,1.0,1.0,4152296.3625002974,1299.87,99.0,975.435441898904,Lifecycle monitoring segment,83,Long-tenure / No observed activity / Low revenue / Low value / Low risk,$1K,"6,315"
Established,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,27910,7.165890361877464e-05,0.000257451915303,1.0,1.0,1.0,16564101.839999745,1171.17,99.0,878.603639969734,Lifecycle monitoring segment,84,Established / No observed activity / Low revenue / Low value / Low risk,$1K,"27,910"
Early lifecycle,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,16384,6.103515625e-05,0.0002486068912555,1.00006103515625,1.0,1.0,11012044.972498426,804.3750000000001,99.0,603.4312298761154,Lifecycle monitoring segment,85,Early lifecycle / High engagement / Low revenue / Low value / Low risk,$804,"16,384"
Long-tenure,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,1742,0.0005740528128587,0.0006660358496634,1.0,1.0,1.0,1193840.5050000057,685.3275000000001,99.0,514.3379645128202,Lifecycle monitoring segment,86,Long-tenure / Medium engagement / Low revenue / Low value / Low risk,$685,"1,742"
Established,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,5900,0.0001694915254237,0.0003057754149778,1.0001694915254238,1.0,1.0,3663767.250000101,620.9775000000001,99.0,465.8755347395659,Lifecycle monitoring segment,87,Established / Medium engagement / Low revenue / Low value / Low risk,$621,"5,900"
Unknown tenure,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,22084,4.528165187466039e-05,0.0003130636674265,1.0,1.0,1.0,10790362.439998372,485.8425,99.0,364.4959497261312,Lifecycle monitoring segment,88,Unknown tenure / No observed activity / Low revenue / Core value / Low risk,$486,"22,084"
Early lifecycle,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,14412,0.0,0.0007438792255315,1.0,1.0,1.0,10603476.325,0.0,107.78615043019704,0.0,Lifecycle monitoring segment,89,Early lifecycle / High engagement / Medium revenue / Core value / Low risk,$0,"14,412"
Established,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,11734,0.0,0.0002571307548996,1.0,1.0,1.0,6483989.654999379,0.0,99.0,0.0,Lifecycle monitoring segment,90,Established / No observed activity / Low revenue / Core value / Low risk,$0,"11,734"
Early lifecycle,High engagement,Medium revenue,High value,Low risk,Low risk / high value,Protect without discount,Moderate save budget,1456,0.0,0.0024161172124739,1.0,1.0,1.0,1517586.2325000046,0.0,149.0,0.0,"Protect, but avoid discounting",91,Early lifecycle / High engagement / Medium revenue / High value / Low risk,$0,"1,456"
Early lifecycle,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6895,0.0,0.0002479619527258,1.0,1.0,1.0,4626385.335000017,0.0,99.0,0.0,Lifecycle monitoring segment,92,Early lifecycle / High engagement / Low revenue / Core value / Low risk,$0,"6,895"
Established,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,32912,0.0,0.0002550896392878,1.0,1.0,1.0,24155168.894995995,0.0,99.0,0.0,Lifecycle monitoring segment,93,Established / High engagement / Low revenue / Core value / Low risk,$0,"32,912"
Early lifecycle,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,2847,0.0,0.0002097887138275,1.0,1.0,1.0,1505049.97500001,0.0,99.0,0.0,Lifecycle monitoring segment,94,Early lifecycle / No observed activity / Low revenue / Low value / Low risk,$0,"2,847"
Early lifecycle,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,3206,0.7442295695570805,0.7391907340677385,1.0049906425452275,1.0,0.9993241838220004,0.0,0.0,0.0,0.0,Do not spend premium budget,95,Early lifecycle / High engagement / No observed revenue / No observed value / Critical risk,$0,"3,206"
Long-tenure,High engagement,Low revenue,Elite value,Medium risk,Medium risk / high value,Monitor lifecycle trend,Premium save budget,593,0.0,0.0067490247210719,20.473861720067458,20.0,0.2985290718999346,1091591.0091666668,0.0,222.11973018549727,0.0,Lifecycle monitoring segment,96,Long-tenure / High engagement / Low revenue / Elite value / Medium risk,$0,593
Early lifecycle,No observed activity,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1207,0.0,0.0002058139244694,1.0,1.0,1.0,589101.7275000137,0.0,99.0,0.0,Lifecycle monitoring segment,97,Early lifecycle / No observed activity / Low revenue / Core value / Low risk,$0,"1,207"
Early lifecycle,Medium engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,1277,0.0,0.0003379807602794,1.0,1.0,1.0,710813.3175000024,0.0,99.0,0.0,Lifecycle monitoring segment,98,Early lifecycle / Medium engagement / Low revenue / Low value / Low risk,$0,"1,277"
Established,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,9003,0.7053204487393091,0.701886451120952,1.0482061535043874,1.0,0.9962010712250828,0.0,0.0,0.0,0.0,Do not spend premium budget,99,Established / High engagement / No observed revenue / No observed value / Critical risk,$0,"9,003"
Long-tenure,High engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,15239,0.7159262418793884,0.7130171920538612,1.0202112999540651,1.0,0.9980201460539738,0.0,0.0,0.0,0.0,Do not spend premium budget,100,Long-tenure / High engagement / No observed revenue / No observed value / Critical risk,$0,"15,239"
Established,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2455,0.0,0.0002996600370697,1.0,1.0,1.0,1524499.7624999958,0.0,99.0,0.0,Lifecycle monitoring segment,101,Established / Medium engagement / Low revenue / Core value / Low risk,$0,"2,455"
Long-tenure,Medium engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,1317,0.914958238420653,0.9067845387851552,1.017463933181473,1.0,0.998424449506454,0.0,0.0,0.0,0.0,Do not spend premium budget,102,Long-tenure / Medium engagement / No observed revenue / No observed value / Critical risk,$0,"1,317"
Early lifecycle,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,527,0.0,0.0024118956551511,1.0,1.0,1.0,551706.0249999999,0.0,149.0,0.0,"Protect, but avoid discounting",103,Early lifecycle / High engagement / Medium revenue / Elite value / Low risk,$0,527
Early lifecycle,Medium engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1080,0.0,0.0004926455373517,1.0,1.0,1.0,615568.1675,0.0,101.37314814814816,0.0,Lifecycle monitoring segment,104,Early lifecycle / Medium engagement / Medium revenue / Core value / Low risk,$0,"1,080"
Established,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,3057,0.0,0.0023814698321908,1.0,1.0,1.0,3470721.442500025,0.0,149.0,0.0,"Protect, but avoid discounting",105,Established / High engagement / Medium revenue / Elite value / Low risk,$0,"3,057"
Established,Medium engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,771,0.9092088197146564,0.9090665244488372,1.020752269779507,1.0,0.9979824182158812,0.0,0.0,0.0,0.0,Do not spend premium budget,106,Established / Medium engagement / No observed revenue / No observed value / Critical risk,$0,771
Early lifecycle,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,518,0.0,0.0003068394996802,1.0,1.0,1.0,288333.04500000074,0.0,99.0,0.0,Lifecycle monitoring segment,107,Early lifecycle / Medium engagement / Low revenue / Core value / Low risk,$0,518
Long-tenure,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,2525,0.0,0.0025096268711582,1.0,1.0,1.0,3078924.452500007,0.0,149.0,0.0,"Protect, but avoid discounting",108,Long-tenure / High engagement / Medium revenue / Elite value / Low risk,$0,"2,525"
Established,Low engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,521,0.0,0.0002942347213546,1.0,1.0,1.0,323529.2774999992,0.0,99.0,0.0,Lifecycle monitoring segment,109,Established / Low engagement / Low revenue / Low value / Low risk,$0,521
Long-tenure,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,710,0.0,0.0006518163028606,1.0,1.0,1.0,486582.5250000066,0.0,99.0,0.0,Lifecycle monitoring segment,110,Long-tenure / Medium engagement / Low revenue / Core value / Low risk,$0,710
Established,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,78055,0.0,0.0002553470663598,1.0,1.0,1.0,57293111.947494745,0.0,99.0,0.0,Lifecycle monitoring segment,111,Established / High engagement / Low revenue / Low value / Low risk,$0,"78,055"
Unknown tenure,No observed activity,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,8670,0.9806228373702424,0.9788262475955716,1.0,1.0,0.0118800461361015,0.0,0.0,0.0,0.0,Do not spend premium budget,112,Unknown tenure / No observed activity / No observed revenue / No observed value / Critical risk,$0,"8,670"
Early lifecycle,No observed activity,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1331,0.0,0.0003115824241444,1.0,1.0,1.0,653188.25,0.0,100.0,0.0,Lifecycle monitoring segment,113,Early lifecycle / No observed activity / Medium revenue / Core value / Low risk,$0,"1,331"
